Overhead - Hydraulic	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_HYD_DEMAND_ELEC1	35	69667			
EVT_OH_HYD_AIR1	36	69668			
EVT_OH_HYD_AIR2	37	69669			
EVT_OH_HYD_DEMAND_ELEC2	38	69670			
EVT_OH_HYD_ENG1	39	69671			
EVT_OH_HYD_ELEC1	40	69672			
EVT_OH_HYD_ELEC2	41	69673			
EVT_OH_HYD_ENG2	42	69674			
EVT_OH_HYD_RAM_AIR	43	69675			
EVT_OH_HYD_RAM_AIR_COVER	44	69676			

Overhead - Electric	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_ELEC_BATTERY_SWITCH	1	69633			
EVT_OH_ELEC_APU_GEN_SWITCH	2	69634			
EVT_OH_ELEC_APU_SEL_SWITCH	3	69635			
EVT_OH_ELEC_BUS_TIE1_SWITCH	5	69637			
EVT_OH_ELEC_BUS_TIE2_SWITCH	6	69638			
EVT_OH_ELEC_GRD_PWR_SEC_SWITCH	7	69639			
EVT_OH_ELEC_GRD_PWR_PRIM_SWITCH	8	69640			
EVT_OH_ELEC_GEN1_SWITCH	9	69641			
EVT_OH_ELEC_GEN2_SWITCH	10	69642			
EVT_OH_ELEC_BACKUP_GEN1_SWITCH	11	69643			
EVT_OH_ELEC_BACKUP_GEN2_SWITCH	12	69644			
EVT_OH_ELEC_DISCONNECT1_SWITCH	13	69645			
EVT_OH_ELEC_DISCONNECT1_GUARD	14	69646			
EVT_OH_ELEC_DISCONNECT2_SWITCH	15	69647			
EVT_OH_ELEC_DISCONNECT2_GUARD	16	69648			
EVT_OH_ELEC_IFE	17	69649			
EVT_OH_ELEC_CAB_UTIL	18	69650			
EVT_OH_ELEC_STBY_PWR_SWITCH	81	69713			
EVT_OH_ELEC_STBY_PWR_GUARD	82	69714			
EVT_OH_ELEC_TOWING_PWR_SWITCH	150	69782			
EVT_OH_ELEC_TOWING_PWR_GUARD	151	69783			
EVT_OH_ELEC_GND_TEST_SWITCH	152	69784			
EVT_OH_ELEC_GND_TEST_GUARD	153	69785			

Overhead - FUEL Panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_FUEL_JETTISON_NOZZLE_L	97	69729			
EVT_OH_FUEL_JETTISON_NOZZLE_L_GUARD	98	69730			
EVT_OH_FUEL_JETTISON_NOZZLE_R	99	69731			
EVT_OH_FUEL_JETTISON_NOZZLE_R_GUARD	100	69732			
EVT_OH_FUEL_TO_REMAIN_ROTATE	101	69733			
EVT_OH_FUEL_TO_REMAIN_PULL	10100	79732			
EVT_OH_FUEL_JETTISON_ARM	102	69734			
EVT_OH_FUEL_PUMP_1_FORWARD	103	69735			
EVT_OH_FUEL_PUMP_2_FORWARD	104	69736			
EVT_OH_FUEL_PUMP_1_AFT	105	69737			
EVT_OH_FUEL_PUMP_2_AFT	106	69738			
EVT_OH_FUEL_CROSSFEED_FORWARD	107	69739			
 
EVT_OH_FUEL_CROSSFEED_AFT	108	69740			
EVT_OH_FUEL_PUMP_L_CENTER	109	69741			
EVT_OH_FUEL_PUMP_R_CENTER	110	69742			
EVT_OH_FUEL_PUMP_AUX	1037	70669			

Overhead Air	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_BLEED_ENG_1_SWITCH	129	69761			
EVT_OH_BLEED_ENG_2_SWITCH	130	69762			
EVT_OH_BLEED_APU_SWITCH	131	69763			
EVT_OH_BLEED_ISOLATION_VALVE_SWITCH_L	132	69764			
EVT_OH_BLEED_ISOLATION_VALVE_SWITCH_C	133	69765			
EVT_OH_BLEED_ISOLATION_VALVE_SWITCH_R	134	69766			
EVT_OH_AIRCOND_PACK_SWITCH_L	135	69767			
EVT_OH_AIRCOND_PACK_SWITCH_R	136	69768			
EVT_OH_AIRCOND_TRIM_AIR_SWITCH_L	137	69769			
EVT_OH_AIRCOND_TRIM_AIR_SWITCH_R	138	69770			
EVT_OH_AIRCOND_TEMP_SELECTOR_FLT_DECK	139	69771			
EVT_OH_AIRCOND_TEMP_SELECTOR_CABIN	140	69772			
EVT_OH_AIRCOND_RESET_SWITCH	141	69773			
EVT_OH_AIRCOND_RECIRC_FAN_UPP_SWITCH	142	69774			
EVT_OH_AIRCOND_RECIRC_FAN_LWR_SWITCH	143	69775			
EVT_OH_AIRCOND_EQUIP_COOLING_SWITCH	144	69776			
EVT_OH_AIRCOND_GASPER_SWITCH	145	69777			
EVT_OH_AIRCOND_TEMP_SELECTOR_CARGO_AFT	148	69780			
EVT_OH_AIRCOND_TEMP_SELECTOR_CARGO_BULK	149	69781			
EVT_OH_AIRCOND_TEMP_SELECTOR_LWR_CARGO_FWD	1050	70682			
EVT_OH_AIRCOND_TEMP_SELECTOR_LWR_CARGO_AFT	1051	70683			
EVT_OH_AIRCOND_RECIRC_FANS_SWITCH	1052	70684			
EVT_OH_AIRCOND_TEMP_SELECTOR_MAIN_CARGO_FWD	1054	70686			
EVT_OH_AIRCOND_TEMP_SELECTOR_MAIN_CARGO_AFT	1055	70687			
EVT_OH_AIRCOND_MAIN_DECK_FLOW_SWITCH	1053	70685			
EVT_OH_AIRCOND_ALT_VENT_SWITCH	1057	70689			
EVT_OH_AIRCOND_ALT_VENT_GUARD	1111	70743			

Overhead - Cabin Press	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_PRESS_VALVE_SWITCH_MANUAL_1	124	69756			
EVT_OH_PRESS_VALVE_SWITCH_MANUAL_2	125	69757			
EVT_OH_PRESS_LAND_ALT_KNOB_ROTATE	126	69758			
EVT_OH_PRESS_LAND_ALT_KNOB_PULL	12600	82232			
EVT_OH_PRESS_VALVE_SWITCH_1	127	69759			
EVT_OH_PRESS_VALVE_SWITCH_2	128	69760			

Overhead - ANTI-ICE	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_ICE_WINDOW_HEAT_1	45	69677			
EVT_OH_ICE_WINDOW_HEAT_2	46	69678			
EVT_OH_ICE_WINDOW_HEAT_3	47	69679			
EVT_OH_ICE_WINDOW_HEAT_4	48	69680			
EVT_OH_ICE_BU_WINDOW_HEAT_L	77	69709			
